id,name,lastBackup,url
"191517034267082","الفريق الإعلامي الموحد لمحافظة إدلب",2014-05-07T14:04:28Z,"MediaTeamOfEdlib"
"626530322","Frederic Jacobs",2014-05-07T14:04:37Z,"frederic.jacobs"
"40796308305","Coca-Cola",2014-05-07T14:03:57Z,"coke"
"20531316728","Facebook",2014-05-07T14:10:34Z,"facebook"
"611450205547787","StreetHub",2014-05-07T14:12:55Z,"streethubuk"
"142435372632362","عدسة شاب حموي . Lens Young Hamwi",2014-05-07T14:13:09Z,"LensYoungHamwi2"
"358731857514439","مجزرة الحولة | al hula massacre",2014-05-07T14:10:58Z,"alhula.massacre"
"315338358578939","المكتب الإعلامي في منطقة خان شيخون",2014-05-07T14:08:07Z,"KhanShykhwn"
"394564587269586","صهيب العلي جبهة حمص",2014-05-07T14:10:34Z,"homs.Suhaib.alAli"
"254110901322450","حمص - تنسيقية ثوار كفرعايا  KafrAya",2014-05-07T14:07:43Z,"Kafraya"
"391568857596181","كـــتــــيــــبــــة ســـيـــف الإســــلام",2014-05-07T14:07:33Z,"Saif.al.Islam.battalion"
"330319770368774","المكتب الإعلامي لمحافظة درعا",2014-05-07T14:09:09Z,"Maktab.Daraa"
"198082360353131","تنسيقية الغارية الشرقية الأولى",2014-05-07T14:08:08Z,"Frist.Algarih2"
"544341968982922","شبكة أحرار صيدا",2014-05-07T16:02:10Z,"mohammad.mash.rev2"
"427221330716839","لواء أهل السنة",2014-05-07T14:08:08Z,"time.freedom5566"
"721293671233755","Namira",2014-05-07T14:03:54Z,"namirathecat"
"100000152886101","Mohamed A. Baset",2014-05-07T14:08:26Z,"symbiansymoh"
"515100971889888","تحرير سوري",2014-05-07T14:06:42Z,"515100971889888"
"626980010700376","اﻟﻘﻳﺎدة اﻟﻌسکرﻳﺔ اﻟﻣﻭحدة ﻓﻲ اﻟﻘﻠﻣﻮﻦ",2014-05-07T14:08:51Z,"yabrud1"
"394253097376092","مركز نور الإعلامي",2014-05-07T14:12:49Z,"Nour.Media.Center"
"781462661870982","Altal-City مدينة التل",2014-05-07T16:01:55Z,"city.altal1"
"205015846293605","عدسة شاب فلسطيني | Lens Young Palestinian",2014-05-07T14:07:49Z,"LensYoungPalestinian"
"137298203075578","سلفيّون سوريّون| Syrian Salafists",2014-05-07T14:08:23Z,"Syrian.Salafists"
"356927721116228","ﺗﻨﺴﻴﻘﻴﺔ ﺍﻟﺜﻮﺭﺓ ﻓﻲ \\ ﻋﺮﻃﻮﺯ \\ ﺃﺑﻨﺎﺀ ﺍﻟﺠﻮﻻﻥ ﻭﺃﻫﻞ ﺍﻟﺒﻠﺪ",2014-05-07T14:13:09Z,"artouz2445"
"354201187964273","أســــــود الشــــــيعة",2014-05-07T14:08:26Z,"Oosood888"
"100003492293123","أكاد الجبل",2014-05-07T14:06:36Z,"akkad.aljabal"
"567174473332120","Wissam Al Jazairy Artworks",2014-05-07T14:11:59Z,"WissamAlJazairy"
"255115057971486","تنسيقية الثورة السورية في منطقة المزة - دمشق",2014-05-07T16:00:54Z,"mazzeh.revolution3"
"216613791778006","ALramel ALganobi Camp",2014-05-07T14:09:09Z,"Mokhayam.Elramel.News"
"317575738387148","We Are All Hamza Al-Khateeb",2014-05-07T14:09:29Z,"hamzaIsus"
"573648226018478","حركة حزم - Hazzm Movement",2014-05-07T14:07:01Z,"hazzm.movement"
"250177851817640","AMC - مركز حلب الإعلامي",2014-05-07T14:03:58Z,"250177851817640"
"100551300055555","تنسيقية كفرومة جبل الزاوية ادلب الثورة السورية ضد بشار الاسد",2014-05-07T14:09:23Z,"100551300055555"
"227982050578178","محامو سورية من أجل الحرية  Syrian Lawyers for Freedom",2014-05-07T14:09:43Z,"S.L.Freedom"
"208412772593660","الصفحة الرسمية لبلدة كفر شمس - اخبار الثورة السورية",2014-05-07T14:08:13Z,"kafershames1"
"615857535140344","شبكة اخبار الرقة - R.N.N",2014-05-07T14:06:00Z,"Raq.Net.news1"
"8303030","Stacy Reeves Gulledge",2014-05-07T14:06:42Z,"stacyreeves"
"231139103603112","Anonymous Rio",2014-05-07T14:14:00Z,"anonymousrio"
"390385381066163","تنسيقية أزادي عفرين",2014-05-07T14:08:39Z,"hevreza.azadi.afrin"
"428700420525878","صفحة الشهيد خالد بكراوي",2014-05-07T14:06:53Z,"428700420525878"
"302004366584267","المكتب الإعلامي الموحد لحمص",2014-05-07T16:01:45Z,"UMO.HOMS"
"481850781877851","صور حمص من قلب الحدث",2014-05-05T05:36:32Z,"photos.homs.heart.of.event"
"100004455494506","الناشط جلال التلاوي",2014-05-07T14:05:07Z,"galal.altalawy.1"
"100007072904491","أبوجمال الحمصي جورة الشياح والقرابيص",2014-05-07T14:10:17Z,"abogmalalhomse10"
"132472286910243","المكتب الإعلامي للواء درع الجبل",2014-05-07T16:02:39Z,"mktb.der3"
"221209854677936","اللواء 313 مهام خاصة",2014-05-07T14:10:38Z,"lewaa.syria"
"169982786491702","معركة الجسد الواحد",2014-05-07T14:07:44Z,"Aljasad.Alwahed.Battle"
"443756542380934","المؤسسة الاعلامية في محافظة حماة",2014-05-07T14:12:29Z,"MediaFoundationHama"
"344014679066822","Alhaffahnews",2014-05-07T14:09:59Z,"alhaffanews"
"221823194623673","تنسيقية عقربا_الثورة السورية في ريف دمشق",2014-05-07T14:02:56Z,"aqrraba"
"423294084412525","كتيبة أحفاد ابن الوليد // القطاع الجنوبي الغربي",2014-05-07T14:02:55Z,"Battalion.Alwaled"
"192749137568965","خادم الجبهة",2014-05-07T14:11:29Z,"JbhtAnNusrah"
"135975486596723","المركز الاعلامي في مدينة جاسم",2014-05-07T16:02:22Z,"jasmcity"
"594709067261519","نسور سوريا",2014-05-07T14:09:26Z,"synsor"
"263284767155624","Dange Kurdistan _ صـوت كـوردســتان",2014-05-07T14:02:42Z,"Dange.Kurdistan"
"124333067614875","حزب آزادي الكردي في سوريا ( PAK )",2014-05-07T16:02:45Z,"Partiya.Azadi"
"155654544618821","كتيبة أنصار الحق",2014-05-07T14:13:03Z,"Ktayb.Ansar.Alhq"
"392377727498524","وكالة أنباء الثورة السورية S.R.N.A",2014-05-07T16:02:09Z,"S.R.N.A.Free"
"100003747486001","Wino Ayee Peeyakan",2014-05-07T12:13:04Z,"nerses.kilajyan"
"798632155","Karine Kazanjian",2014-05-07T14:03:17Z,"karine.kazanjian"
"100003326191183","Feras Alhorani",2014-05-07T14:06:32Z,"firas.alhorani"
"493241504093301","Syrian Revolution Talbisah الثورة السورية أخبار تلبيسة",2014-05-07T14:09:00Z,"Talbisah2O11"
"408182419246135","Syrian Revolution Talbisah News",2014-05-07T16:01:19Z,"Talbisah.News"
"1431578447073954","تجمع شباب مورك الأحرار",2014-05-07T14:06:14Z,"morek.revolution.2011"
"409884619106981","الثورة السورية في مدينة كفرزيتا 2011",2014-05-07T16:01:15Z,"kafrzita2011"
"147380725456091","تل رفعت  Tall Refaat  √",2014-05-07T14:12:45Z,"tall.refat"
"100001825680760","Hattem Ibrahim",2014-05-07T14:06:26Z,"Hattem.Sinena"
"1464163053809108","المجلس المحلي الثوري في مدينة الرستن",2014-05-07T14:02:57Z,"The.Revolutionary.Local.Councilinar.Rrastan"
"243217275815739","Klc.kafranbel المجلس المحلي - مدينة كفرنبل",2014-05-07T16:01:49Z,"243217275815739"
"725658014120153","جيش القادسية",2014-05-07T16:01:09Z,"Qadeseyya.Army"
"426148274155332","ﺗﻧﺳﻴﻗﻳﺓ ﻣﺪﻳﻨﺔ ﻛﻓﺮ ﺗﺧﺎﺭﻳﻡ",2014-05-07T14:12:29Z,"kafrtkhareem"
"228802357241998","إيبلا نيوز",2014-05-07T16:01:12Z,"azez.sarakp220"
"1450353318520856","هيئة حماية المدنيين - Syrgccp",2014-05-07T14:05:48Z,"syrgccp1"
"392091034258812","Electronic Resistance",2014-05-07T14:05:01Z,"electronicresistanceteam"
"482333495184575","Passioneers",2014-05-07T14:08:19Z,"Arabpassioneers"
"432209300235499","المركز الاعلامي الشيخ مسكين",2014-05-07T16:01:04Z,"m.horan.shekeMiskin"
"277633762344723","شبكة أنصار الحق الإخبارية A.H.N",2014-05-07T16:01:24Z,"Ansar.Alhaq.Deir.Ezzour"
"411384405607017","اتحاد تنسيقيات الثورة السورية  Syrian Revolution Coordinators Union",2014-05-07T14:03:13Z,"SYRCU"
"233265026846470","تنسيقية الثورة السورية في مدينة الأتارب و قراها - ريف حلب",2014-05-07T14:04:29Z,"alatareb1"
"733698646641236","لواء توحيد العاصمة",2014-05-07T14:05:08Z,"Unification.of.capital2"
"339092546230135","جمعية الاء الخيرية",2014-05-07T14:04:58Z,"Alaa.Association.charity"
"100003785732189","Mouaz Kh Alhasanee",2014-05-07T14:12:52Z,"mouazalkhatib.alhasani"
"454711507970857","مركز الرقة الإعلامي-rmc",2014-05-07T14:05:40Z,"r.m.c.alraaqqaa"
"418169988328964","جبهة الأصالة والتنمية - الصفحة الرسمية",2014-05-07T14:04:22Z,"alasalaaltanmia"
"177966505716710","لواء جعفر الصادق",2014-05-07T14:04:54Z,"Jaafar.alSadiq.brigade"
"246269328848377","ألوية أبابيل حوران",2014-05-07T14:12:38Z,"Ababil.brigades.Horan1"
"358110247634170","كتيبة شهداء عقربا-ألوية أبابيل حوران",2014-05-07T14:03:58Z,"Aqraba.Martyrs"
"172062486301575","هيئة إعلام ديرالزور Media Authority Of Deir Alzour",2014-05-07T16:01:24Z,"HyytAlamDyralzwrMediaAuthorityOfDeirAlzour"
